-273,-839,527,227,-10465,-175
-266,-845,535,-2327,-10272,-1417
92,-853,524,1732,-10500,-1855
-281,-842,524,1662,-10062,-472
-273,-839,527,227,-10465,-175
-266,-845,535,-2327,-10272,-1417
92,-853,524,1732,-10500,-1855
-281,-842,524,1662,-10062,-472
-273,-839,527,227,-10465,-175
-266,-845,535,-2327,-10272,-1417
92,-853,524,1732,-10500,-1855
-281,-842,524,1662,-10062,-472
-273,-839,527,227,-10465,-175
-266,-845,535,-2327,-10272,-1417
start
0
Success enabling accelero and gyro
Wrong ID for LSM6DSOX sensor. Check that device is plugged
-150,-416,282,41912,-157342,-37905
-150,-416,282,41912,-157342,-37905
-290,-824,554,241307,399157,-125265
-278,-824,539,-14542,1820,16380
-260,-823,523,-23030,16397,22190
-260,-823,523,-13877,-18655,14542
-253,-826,515,-13877,-18655,14542
-253,-833,513,-13720,-20352,11410
-252,-846,517,-13597,-17290,7052
-264,-853,520,-10710,-14910,2765
-264,-853,520,-10710,-14910,2765
-267,-855,525,-7717,-10220,-2730
-277,-851,525,-5775,-4602,-6860
-296,-855,529,-4532,945,-8802
-296,-855,529,-4532,945,-8802
-314,-850,534,-3815,8382,-10272
-323,-821,534,-2870,15505,-10745
-317,-775,527,-857,20405,-8032
-317,-775,527,-857,20405,-8032
-319,-742,519,2485,22890,-1855
-323,-738,508,5320,20422,4165
-319,-764,498,5565,11375,8225
-319,-764,498,5565,11375,8225
-303,-796,503,1540,-402,11620
-280,-825,516,-8452,-12267,16205
-264,-849,535,-22120,-21962,20702
-264,-849,535,-22120,-21962,20702
-247,-867,554,-35700,-26897,22855
-242,-896,577,-46130,-26285,22277
-237,-933,595,-51345,-24115,18865
-237,-933,595,-51345,-24115,18865
-231,-969,610,-50382,-21017,13737
-223,-995,618,-46147,-12897,6230
-228,-993,618,-39655,-17,-3622
-228,-993,618,-39655,-17,-3622
-253,-980,624,-29242,9275,-13685
-266,-961,622,-18707,14157,-25042
-255,-944,600,-9222,16135,-33407
-255,-944,600,-9222,16135,-33407
-255,-928,579,490,21297,-37782
-263,-904,563,9817,28455,-43015
-268,-888,550,18147,31290,-50050
-268,-888,550,18147,31290,-50050
-266,-873,531,24465,28367,-57085
-270,-868,512,28437,24675,-63315
-286,-868,505,30362,24727,-69527
-286,-868,505,30362,24727,-69527
-317,-873,511,30572,26985,-75600
