start
,3957
7,926,23502,-20142,78645
97,-1037,255,17097,23642,-45850
97,-1037,255,17097,23642,-45850
141,-991,294,10937,28332,-50470
156,-959,326,5057,25550,-41667
177,-892,349,-437,19092,-30222
177,-892,349,-437,19092,-30222
235,-805,310,-6562,7595,-21420
266,-720,243,-6037,3622,-16695
246,-650,246,6282,9572,-17955
246,-650,246,6282,9572,-17955
199,-621,272,17517,15032,-27615
161,-644,295,21630,15435,-38867
168,-703,311,19005,10570,-40145
168,-703,311,19005,10570,-40145
176,-748,316,7315,3780,-29820
131,-793,282,-9415,3517,-20317
88,-811,276,-19477,14455,-17325
88,-811,276,-22662,30275,-16870
27,-819,305,-22662,30275,-16870
-67,-846,372,-19512,40880,-22295
-72,-932,451,-13160,26512,-35717
-72,-932,451,-15085,-2117,-32690
-28,-1074,481,-15085,-2117,-32690
59,-1209,513,-25882,-23992,-7192
124,-1275,525,-47897,-30380,28822
188,-1270,457,-67497,-24377,57452
188,-1270,457,-67497,-24377,57452
199,-1200,249,-64680,-6352,62562
211,-1015,-101,-32130,37660,29802
9,-869,-29,16992,109515,-35035
9,-869,-29,16992,109515,-35035
-70,-808,222,21070,142205,-108080
18,-820,118,-5145,92277,-131110
58,-870,2,-22925,55457,-101692
58,-870,2,-22925,55457,-101692
106,-974,0,-54617,74567,-67445
10,-1211,60,-94710,109900,-52150
-153,-1534,275,-114992,132475,-72642
-153,-1534,275,-114992,132475,-72642
-228,-1769,488,-116235,138845,-102760
-237,-1919,508,-97107,134347,-104107
-246,-1927,479,-54022,124652,-75390
-246,-1927,479,-54022,124652,-75390
-227,-2021,429,-16152,113627,-38797
-177,-2104,508,-7052,108010,-8925
36,-2016,553,-18690,83930,23415
36,-2016,553,-18690,83930,23415
149,-1852,576,-28647,58922,63087
158,-1695,602,-29032,35647,88042
130,-1582,584,-23065,2870,95112
130,-1582,584,-17500,-22102,97720
104,-1428,483,-17500,-22102,97720
87,-1240,396,-16957,-22750,102952
63,-1074,326,-27265,-16205,104965
44,-957,313,-40057,-297,95357
44,-957,313,-40057,-297,95357
15,-886,356,-45272,18847,78067
-10,-776,395,-38937,35892,59167
-35,-645,424,-27597,52517,44905
-35,-645,424,-27597,52517,44905
-8,-523,430,-20457,57067,42700
63,-432,393,-16590,44310,54740
122,-369,322,-11707,25777,69807
122,-369,322,-11707,25777,69807
162,-348,277,-7227,17325,73815
185,-340,240,-2992,21070,68337
150,-331,230,3955,30730,59570
150,-331,230,3955,30730,59570
140,-377,190,9782,31237,43610
102,-410,201,14997,23677,19232
44,-478,196,17290,9012,-3605
44,-478,196,17290,9012,-3605
-6,-495,181,15190,1155,-25392
-77,-571,218,14525,9747,-40950
-127,-682,195,17412,11777,-46725
-127,-682,195,17412,11777,-46725
-139,-758,87,28962,4252,-44660
-119,-751,37,47355,11270,-43382
-131,-744,87,54075,43715,-49280
-131,-744,87,54075,43715,-49280
-139,-786,121,45517,86065,-61582
-101,-774,132,44975,118842,-66990
-66,-756,130,56017,133962,-58695
-66,-756,130,56017,133962,-58695
-46,-754,117,66027,139177,-47127
-67,-795,167,71032,141417,-43102
-92,-870,233,69615,134925,-45342
-92,-870,233,69615,134925,-45342
-79,-946,279,67462,120015,-40022
-13,-1027,291,68740,106855,-16660
4,-1087,286,67007,101797,19670
4,-1087,286,67007,101797,19670
-3,-1104,341,53497,92820,48055
0,-1112,420,26687,66325,66797
-17,-1159,480,-8382,31850,80080
-17,-1159,480,-8382,31850,80080
-68,-1253,496,-40950,-2817,88217
-29,-1265,483,-67060,-32060,97142
9,-1242,471,-85575,-48667,115710
9,-1242,471,-91577,-44695,127382
-32,-1202,481,-91577,-44695,127382
-80,-1167,498,-81410,-30940,116375
-105,-1129,526,-58992,-28525,95375
-65,-1098,462,-36137,-40775,81165
-65,-1098,462,-36137,-40775,81165
1,-1054,347,-16712,-55125,81252
10,-1017,298,-2957,-60567,84087
0,-962,274,-1120,-48335,71592
0,-962,274,-1120,-48335,71592
-23,-949,261,-4410,-35507,47565
-71,-961,264,-4007,-41002,23852
-220,-1024,295,-3202,-55790,-1627
-220,-1024,295,-3202,-55790,-1627
-272,-1072,294,-8347,-67952,-34982
-263,-1089,284,-14052,-59395,-61652
-266,-1021,346,-22032,-19967,-65292
-266,-1021,346,-22032,-19967,-65292
-377,-996,449,-34807,16887,-56140
-398,-950,461,-41650,14770,-55440
-367,-925,435,-37975,332,-60795
-367,-925,435,-37975,332,-60795
-325,-902,413,-22802,-5880,-66430
-275,-885,363,402,-17342,-66605
-267,-900,378,18865,-22260,-63857
-267,-900,378,18865,-22260,-63857
-302,-946,412,27930,-27807,-60830
-328,-1005,424,32252,-41492,-58747
-328,-1045,435,34702,-49245,-57522
-328,-1045,435,34702,-49245,-57522
-314,-1111,429,40267,-50155,-56122
-274,-1168,371,53690,-56210,-54040
-262,-1176,348,68687,-57925,-54320
-262,-1176,348,68687,-57925,-54320
-249,-1139,346,72485,-54197,-59517
-251,-1102,365,67340,-46672,-66482
-260,-1081,389,62037,-38290,-75022
-260,-1081,389,62055,-30537,-83212
-280,-1075,426,62055,-30537,-83212
-287,-1052,471,63857,-27912,-87640
-283,-1029,492,63140,-36662,-87255
-255,-1003,482,61652,-51607,-83580
-255,-1003,482,61652,-51607,-83580
-227,-1006,453,62510,-60200,-78015
-206,-1038,459,65835,-53777,-72922
-188,-1067,490,65117,-39795,-66657
-188,-1067,490,65117,-39795,-66657
-170,-1041,483,57172,-30677,-58292
-119,-995,467,47337,-26512,-47810
-45,-924,434,37590,-20457,-34282
-45,-924,434,37590,-20457,-34282
40,-794,397,29522,-1365,-20790
89,-693,424,24290,28402,-9607
