811,1768,-587,32025,-153475,-33285
398,868,-273,-13405,51170,13370
395,859,-273,-11690,46480,9730
388,855,-278,-9870,33075,8365
389,854,-272,35,-6755,3255
383,867,-275,35,-7000,3080
390,872,-264,35,-6685,2765
393,868,-264,245,-6230,2555
391,864,-265,875,-5880,2380
376,863,-276,1995,-6195,490
384,890,-267,945,-7105,1155
405,876,-255,490,-6580,525
404,862,-254,980,-5495,1085
395,865,-256,0,-5460,2485
388,863,-259,-490,-6265,2065
388,861,-264,-1505,-7315,3255
411,858,-253,-4095,-7595,7315
411,847,-256,-2135,-6580,5635
407,873,-255,-1540,-6790,6580
418,874,-246,-3465,-5075,7700
412,864,-255,-1085,-4095,4620
398,875,-264,-2170,-4375,5320
406,875,-256,-5215,-5425,9345
406,867,-254,-3360,-5215,6090
406,876,-248,-2660,-5110,4480
408,866,-251,-4200,-4795,4760
410,861,-241,-1295,-4270,1540
397,859,-253,-1155,-4620,1505
388,853,-255,-3185,-5775,5390
386,841,-260,-3010,-6580,5145
388,852,-262,-2415,-7875,4830
394,848,-254,-1505,-8645,4935
401,848,-251,70,-8610,2135
405,850,-250,-1015,-8925,4585
414,849,-248,-1190,-8715,6230
416,855,-249,0,-7910,4585
408,871,-252,385,-7280,3185
416,867,-253,-1400,-7000,4060
425,866,-244,-630,-6090,2380
424,874,-239,-910,-5355,2905
419,867,-241,-1015,-4900,1680
410,871,-248,-1225,-5215,1645
402,862,-250,-1680,-6090,1995
410,855,-246,-1435,-7245,1365
419,854,-241,-1120,-7840,945
426,853,-237,-2660,-8260,4270
419,859,-245,-1960,-7455,3290
426,874,-237,-1610,-7595,2065
432,862,-234,-1610,-7525,1925
440,848,-225,-420,-6860,350
440,857,-228,35,-5600,35
426,859,-241,-1015,-5250,2065
423,861,-242,-2135,-5250,3255
423,858,-241,-980,-5005,980
419,873,-238,-1645,-5075,1575
426,868,-239,-2345,-4305,805
427,865,-241,-1330,-3780,-735
425,864,-242,-1330,-3360,-350
422,863,-245,-1470,-3395,-595
415,862,-249,-840,-3255,-945
408,861,-247,-385,-3290,-2765
408,856,-249,210,-3675,-3885
415,844,-253,1400,-3535,-5285
427,840,-243,2765,-2695,-6685
414,832,-262,6230,-1470,-9555
396,838,-270,9695,-1890,-11795
391,836,-266,11480,-3010,-12355
386,844,-274,12810,-4585,-12110
396,851,-264,14875,-5495,-12425
389,861,-270,11900,-7140,-4165
421,873,-224,4480,-6685,1260
436,910,-214,1260,-2135,-315
422,906,-241,7245,1365,-3535
402,875,-255,8820,910,-4200
380,851,-264,8575,-1785,-350
365,834,-261,1645,-5915,8645
360,829,-266,-1960,-9625,10920
386,846,-251,-4865,-12495,12040
402,861,-241,-4550,-12845,9765
426,879,-235,-3220,-12180,5180
452,847,-224,-1435,-8855,3045
453,840,-233,595,-6405,1540
432,849,-244,2520,-5215,140
407,866,-256,2170,-5600,-595
408,873,-256,-35,-7385,280
425,868,-246,-1085,-8050,1120
444,858,-238,-1925,-7945,2975
436,857,-248,-1925,-7175,2800
434,859,-251,-2030,-6615,2380
427,852,-262,-1785,-6265,1400
425,837,-268,105,-6055,-875
425,828,-275,1855,-7035,-2520
429,829,-271,1680,-7840,-490
440,843,-263,1120,-7805,2065
442,840,-253,2345,-6580,735
425,843,-265,4725,-5950,-2660
414,852,-271,4760,-6090,-3955
417,837,-270,5110,-6405,-4795
419,829,-274,6055,-6020,-5845
414,840,-283,6580,-5845,-5250
413,839,-284,7875,-6195,-5495
401,836,-282,9800,-6055,-6930
404,837,-278,10850,-7070,-8960
393,833,-301,13160,-7175,-11550
391,846,-305,17325,-8925,-15365
373,846,-321,24115,-11235,-22155
359,864,-324,32060,-12670,-33845
374,856,-305,26880,-20650,-29855
321,846,-347,23625,-23135,-29330
345,853,-336,17815,-25935,-26600
360,867,-325,18445,-28665,-27370
406,836,-320,23380,-31570,-22645
440,778,-275,10955,-24010,-19600
468,776,-289,6405,-15995,-4585
467,773,-292,5845,-7665,-1085
420,807,-314,10255,-2695,-1960
378,814,-329,12810,-1015,-4375
347,830,-346,13230,-840,-6370
324,840,-351,13230,-3885,-4235
305,843,-351,8750,-8505,4025
326,836,-318,3815,-10640,10255
394,858,-256,4095,-7105,11900
416,876,-215,7350,-4550,9065
418,887,-210,11585,-1575,5600
378,888,-210,18935,1435,-5740
336,882,-221,17150,1855,-11515
298,858,-247,10115,-5705,-11445
293,833,-289,4445,-10115,-9240
294,854,-312,2100,-15610,-7560
324,880,-317,-805,-16660,-3045
378,913,-299,-2660,-14245,-1365
432,935,-252,-1540,-8015,-3465
452,967,-226,2485,2135,-12320
414,1006,-267,2030,12250,-19145
381,1021,-290,6300,12250,-23660
348,1027,-321,6720,13545,-26250
325,1013,-312,5040,8680,-19880
308,1004,-278,1155,3745,-14420
321,975,-232,-4025,980,-9485
326,943,-191,-6790,-2590,-9345
347,936,-175,-9275,-3605,-11830
391,931,-155,-12460,-2450,-13195
400,910,-148,-10780,770,-18585
368,890,-166,-9345,1820,-19180
330,879,-194,-11445,455,-15330
300,864,-234,-12390,-3080,-12110
274,858,-251,-13615,-8435,-6335
275,858,-262,-15435,-12880,245
287,859,-256,-16135,-15015,5740
295,867,-244,-14350,-15820,5880
300,865,-238,-13790,-16170,7315
310,855,-226,-12740,-15015,6965
327,849,-219,-11585,-13615,6405
362,876,-196,-9345,-10150,5075
403,909,-164,-6965,-350,1890
411,984,-146,-4235,7070,1715
410,1044,-135,-4200,15225,-3535
387,1070,-156,-5740,20020,-12460
390,1038,-177,-7560,21875,-17990
399,973,-194,-8260,23730,-18760
391,942,-194,-5145,27650,-19005
343,933,-224,-525,28350,-16590
286,912,-265,2835,26250,-14420
236,892,-313,5145,19880,-11865
199,885,-345,5390,10430,-6405
199,879,-358,4480,-805,3745
223,887,-373,3920,-8260,13335
250,888,-412,8505,-15470,15890
230,888,-444,17360,-20720,17780
184,863,-444,25935,-27440,19635
162,874,-421,27300,-35210,21945
193,867,-397,25095,-42140,22260
245,845,-384,25235,-47600,15330
295,805,-375,29015,-46585,10640
314,762,-406,31115,-42700,10885
293,700,-436,36400,-43015,15925
278,700,-475,35910,-37415,20860
272,739,-506,33845,-37625,28350
305,792,-518,28805,-32900,31885
318,781,-571,32690,-26985,22470
325,762,-585,36435,-19495,13125
303,764,-621,38710,-14700,10395
270,806,-654,37100,-10710,12880
254,839,-661,34895,-8400,13930
241,853,-683,31395,-7210,8890
227,805,-672,32865,-8120,1155
245,772,-615,32235,-7910,-4830
265,671,-588,33740,-2800,-15715
276,610,-587,37555,-280,-22680
282,559,-562,41755,1400,-26180
270,539,-557,44310,5320,-23065
256,535,-589,48685,5600,-17395
239,568,-567,48090,6615,-11340
226,653,-566,48545,6895,-7525
230,721,-559,49140,7875,-8785
219,745,-544,49805,8960,-13895
218,735,-532,50855,9205,-18585
218,715,-526,53165,10080,-26915
213,709,-557,53795,9870,-33425
244,696,-559,53130,7875,-33320
270,664,-539,55300,6615,-34405
279,667,-532,57365,6440,-32375
279,693,-508,60025,5670,-28910
287,734,-482,58730,4970,-24080
315,764,-439,54320,6440,-24325
358,791,-396,54075,10185,-29645
377,807,-386,52535,14315,-33950
381,821,-403,54355,20335,-43050
375,875,-441,51205,20405,-41335
386,905,-458,46900,19600,-37275
394,947,-476,44730,16625,-32585
420,1023,-460,37485,13090,-25375
518,1083,-372,32410,16625,-19040
564,1090,-367,21140,28910,-27440
570,1077,-368,20265,40740,-40040
528,1098,-508,18200,49770,-50855
447,1123,-589,13755,50050,-52850
419,1114,-582,7945,42525,-49000
425,1074,-531,-770,33425,-40320
420,1006,-451,-7805,30590,-36190
414,941,-368,-17325,26985,-30135
