start
95,9870,-10920
5,1730,-6317,96302,8277
-37,-1025,458,-46987,-60847,37992
-13,-1052,470,-45972,-62352,34860
7,-1054,471,-42262,-57330,29120
7,-1054,471,-42262,-57330,29120
19,-1045,463,-36627,-47040,20422
32,-1034,450,-26425,-31745,8785
17,-1023,454,-11707,-13195,-4410
17,-1023,454,-11707,-13195,-4410
0,-1051,433,4375,-2695,-17395
-5,-1057,412,18357,-2695,-31832
-29,-1055,368,26915,-12897,-43715
-29,-1055,368,26915,-12897,-43715
-29,-1037,318,29382,-26757,-51537
-22,-1030,291,27510,-29190,-54967
-8,-1040,289,22855,-23415,-55107
-8,-1040,289,22855,-23415,-55107
4,-1026,286,17167,-17850,-52902
8,-999,299,13737,-14087,-51415
19,-966,326,10202,-9887,-52745
19,-966,326,10202,-9887,-52745
29,-924,347,6597,-5722,-53322
37,-892,343,7455,-2380,-50680
49,-848,341,15242,1365,-44660
49,-848,341,15242,1365,-44660
54,-786,332,25900,2187,-35752
59,-721,327,33932,-3815,-27632
47,-671,317,36540,-17587,-23257
47,-671,317,36540,-17587,-23257
43,-647,313,35087,-36277,-23712
63,-639,300,31920,-56437,-24202
86,-634,293,29050,-70682,-21332
86,-634,293,27352,-71190,-19215
122,-635,285,27352,-71190,-19215
178,-630,304,27877,-55615,-18602
197,-591,301,30905,-36522,-16975
191,-536,270,41282,-27405,-16415
191,-536,270,41282,-27405,-16415
195,-480,246,56892,-31500,-17517
208,-435,251,69020,-40740,-19355
239,-459,268,73500,-44170,-21682
239,-459,268,73500,-44170,-21682
293,-506,286,72747,-41370,-20720
273,-555,282,69772,-32427,-18095
234,-564,304,67060,-24325,-22540
234,-564,304,67060,-24325,-22540
172,-587,413,59412,-30082,-31132
138,-672,432,45885,-63087,-39795
211,-821,520,37835,-100152,-41982
211,-821,520,37835,-100152,-41982
266,-892,503,29102,-108045,-35472
217,-949,528,29627,-93187,-29697
209,-1037,539,30730,-81060,-29277
209,-1037,539,30730,-81060,-29277
150,-1109,551,28070,-76300,-27212
149,-1172,662,28910,-66762,-16625
173,-1299,776,23065,-67620,9975
173,-1299,776,23065,-67620,9975
