-287,-288,440,22155,-145722,-48562
-287,-288,440,22155,-145722,-48562
-579,-584,905,107957,452550,-187215
-580,-591,940,-86730,127172,-27860
-571,-597,949,-85977,94657,-31587
-571,-597,949,-78242,23065,-37625
-522,-650,903,-78242,23065,-37625
-480,-698,878,-74900,16642,-36732
-531,-758,859,-65607,34545,-33127
-552,-757,798,-52570,54617,-32357
-552,-757,798,-52570,54617,-32357
-495,-727,730,-34317,62072,-29417
-435,-704,746,-15032,59360,-21472
-410,-703,780,-7490,51380,-15522
-410,-703,780,-7490,51380,-15522
-364,-683,778,-14140,47355,-17797
-356,-681,759,-25217,53130,-23362
-369,-670,783,-33390,68477,-27055
-369,-670,783,-33390,68477,-27055
-381,-648,807,-39270,81812,-25200
-374,-632,822,-41702,82897,-19757
-358,-616,826,-40302,72397,-15522
-358,-616,826,-40302,72397,-15522
-352,-621,849,-37502,58660,-16135
-320,-621,864,-36995,46462,-18620
-280,-625,853,-36820,41002,-17342
-280,-625,853,-36820,41002,-17342
-284,-626,845,-33057,46270,-13632
-308,-614,862,-27562,52710,-13090
-317,-604,875,-24412,51170,-16082
-317,-604,875,-24412,51170,-16082
-361,-653,894,-23747,41440,-20282
-422,-734,884,-19267,22925,-25690
-380,-765,830,-4252,8242,-36050
-380,-765,830,-4252,8242,-36050
-286,-753,750,15767,2275,-44082
-233,-731,696,35577,5862,-41930
-244,-689,717,49735,14385,-33215
-244,-689,717,49735,14385,-33215
-294,-671,766,50155,16170,-26320
-301,-684,791,39270,11602,-25077
-278,-715,773,30695,5425,-20790
-278,-715,773,29855,-1330,-12915
-279,-749,768,29855,-1330,-12915
-257,-759,749,29662,-8102,-8610
-228,-769,753,28717,-14822,-7682
-243,-825,783,26145,-25305,-9240
-243,-825,783,26145,-25305,-9240
-301,-943,798,23660,-35787,-13457
-395,-1035,843,23782,-41632,-20195
-387,-1028,892,22802,-48282,-24045
-387,-1028,892,22802,-48282,-24045
-360,-989,897,20492,-56875,-15382
-294,-932,886,20352,-56980,-1557
-251,-844,836,23327,-53042,12810
-251,-844,836,23327,-53042,12810
-196,-736,737,31832,-58240,24237
-129,-676,636,45797,-72590,30765
-149,-701,606,60672,-88235,35910
-149,-701,606,60672,-88235,35910
-230,-766,656,66657,-100170,35070
-287,-808,699,57767,-106382,29435
-343,-837,702,42787,-101027,25497
-343,-837,702,42787,-101027,25497
-403,-842,701,34597,-89565,22837
-457,-864,709,36452,-82845,19320
-506,-874,728,43452,-83895,16240
