8168,-185,1007,1890,-6737,-350
63,-167,1023,2537,-4480,-2187
-163,-167,1023,2537,-4480,-2187
-165,-179,1019,1960,-5442,-910
-168,-185,1007,1890,-6737,-350
63,-167,1023,2537,-4480,-2187
-163,-167,1023,2537,-4480,-2187
-165,-179,1019,1960,-5442,-910
-168,-185,1007,1890,-6737,-350
�start
0
Success enabling accelero and gyro
Wrong ID for LSM6DSOX sensor. Check that device is plugged
-85,-98,524,42017,-139860,-40267
-85,-98,524,42017,-139860,-40267
-160,-181,1030,260085,383880,-143745
-167,-180,1018,-2712,20527,5407
-161,-173,1015,-8942,31500,5442
-161,-173,1015,612,-1785,-420
-168,-174,1028,612,-1785,-420
-163,-174,1024,367,-4987,-420
-163,-169,1008,-192,-6020,70
-163,-169,1008,-192,-6020,70
-166,-166,1010,507,-4462,630
-170,-166,1029,577,-2765,1347
-169,-170,1038,-612,-3010,1837
-169,-170,1038,-612,-3010,1837
-172,-183,1033,-1365,-4585,1767
-171,-175,1025,-910,-5477,1085
-169,-165,1023,-385,-4742,507
-169,-165,1023,-385,-4742,507
-166,-162,1025,-227,-4077,1522
-173,-167,1025,70,-4497,2957
-167,-165,1017,420,-5197,3010
-167,-165,1017,420,-5197,3010
-165,-161,1013,542,-4935,2905
-159,-163,1013,542,-4305,3885
-161,-171,1020,245,-3867,5372
-161,-171,1020,245,-3867,5372
-163,-177,1030,-717,-3482,5757
-163,-181,1037,-2047,-3290,4760
-162,-181,1039,-2817,-4147,3990
-162,-181,1039,-2817,-4147,3990
-157,-182,1035,-2957,-5792,3692
-156,-186,1023,-2607,-6755,3377
-155,-185,1014,-1557,-6422,2415
-155,-185,1014,-1557,-6422,2415
-155,-183,1016,-157,-5092,1400
-150,-180,1025,700,-4690,1032
-149,-183,1028,350,-5285,892
-149,-183,1028,350,-5285,892
-148,-192,1012,-297,-6772,-35
-144,-189,994,-70,-7052,-1715
-139,-181,1003,192,-4392,-3692
-139,-181,1003,192,-4392,-3692
-141,-180,1026,-1050,-2537,-5075
-144,-180,1030,-3027,-3500,-6405
-141,-180,1031,-3640,-4340,-7560
-141,-180,1031,-3640,-4340,-7560
-145,-185,1035,-2957,-4217,-7805
-146,-190,1042,-2222,-3395,-8435
-151,-191,1048,-1452,-2905,-10027
-151,-191,1048,-1452,-2905,-10027
-161,-190,1052,-157,-3377,-11550
-167,-183,1063,875,-3255,-12145
-172,-178,1064,1417,-4042,-12127
-172,-178,1064,1417,-4042,-12127
-168,-170,1046,2257,-7105,-11392
-168,-170,1025,3115,-9152,-10027
-173,-176,1015,3675,-8627,-9187
-173,-176,1015,3675,-8627,-9187
-179,-175,1019,4095,-6037,-9222
-185,-173,1033,4445,-4480,-9240
-187,-170,1032,4357,-5792,-8050
-187,-170,1032,4357,-5792,-8050
-188,-180,1017,4357,-8365,-5827
-187,-187,1000,4952,-9975,-3920
-187,-184,991,5600,-9257,-3430
-187,-184,991,5600,-9257,-3430
-181,-178,991,5145,-7647,-3325
-184,-184,992,3692,-6457,-2415
-185,-185,986,2450,-5862,-1820
-185,-185,986,2450,-5862,-1820
-186,-181,988,2152,-5022,-2047
-185,-176,998,1855,-4147,-1960
-181,-171,1001,927,-3815,-1277
-181,-171,1001,927,-3815,-1277
-180,-167,998,122,-4235,-770
-170,-160,994,-35,-4585,87
-169,-164,1000,-105,-3710,1557
-169,-164,1000,-105,-3710,1557
-169,-162,1009,-857,-2222,2117
-168,-160,1022,-2030,-1260,1872
-168,-161,1040,-3342,-735,2590
-168,-161,1040,-3342,-735,2590
-172,-165,1058,-4550,-1435,3710
-172,-172,1062,-5267,-3517,4550
-165,-174,1056,-5372,-5967,5670
-165,-174,1056,-5372,-5967,5670
-160,-179,1043,-5057,-7857,6912
-159,-181,1032,-4515,-8330,7175
-160,-177,1032,-4007,-7490,6737
-160,-177,1032,-4007,-7490,6737
-167,-176,1032,-4060,-6230,6965
-172,-185,1035,-4392,-4515,7700
-182,-199,1050,-4987,-2432,8295
-182,-199,1050,-4987,-2432,8295
-195,-203,1055,-5267,-1697,7630
-191,-201,1033,-3902,-5302,6492
-180,-189,989,-2327,-8802,6562
-180,-189,989,-2327,-8802,6562
-171,-179,951,-1067,-9520,7070
-163,-169,926,-595,-6982,8015
-153,-160,933,-875,-2502,9170
-153,-160,933,-875,-2502,9170
-144,-166,946,-3027,1102,11252
-156,-176,961,-6230,3832,13527
-146,-171,987,-8925,5162,14210
-146,-171,987,-8925,5162,14210
-151,-189,1029,-12792,5985,16100
-144,-206,1056,-17255,3990,18480
-144,-230,1057,-19862,192,18987
-144,-230,1057,-19862,192,18987
-143,-243,1057,-20247,-3132,18270
-139,-249,1056,-19757,-3815,16905
-137,-255,1040,-17640,-4025,14997
-137,-255,1040,-17640,-4025,14997
-132,-248,1016,-13212,-4585,13212
-144,-245,1004,-8452,-3990,11952
-151,-228,1007,-5722,-1767,10762
-151,-228,1007,-5722,-1767,10762
-156,-219,1021,-5197,665,10412
-155,-221,1016,-5792,-1260,11742
-168,-228,987,-6160,-5180,13370
-168,-228,987,-6160,-5180,13370
-194,-235,968,-6912,-4305,13580
-193,-222,979,-8732,-367,13895
-178,-223,999,-12057,1452,16520
-178,-223,999,-12057,1452,16520
-188,-244,994,-14927,-140,20037
-204,-260,976,-14787,-1855,20195
-209,-251,961,-11952,-2625,18112
-209,-251,961,-11952,-2625,18112
-205,-217,990,-9660,-2572,18637
-195,-216,1006,-11830,-2992,23695
-207,-250,1007,-15680,-2380,30222
-207,-250,1007,-16660,-210,33355
-217,-281,1021,-16660,-210,33355
-203,-296,1028,-14840,1522,33320
-202,-298,1046,-12162,2642,32217
-202,-298,1046,-11217,1242,30292
-209,-296,1073,-11217,1242,30292
-228,-299,1101,-13020,-910,29225
-254,-322,1103,-14315,-4060,29907
-255,-330,1073,-12425,-7367,30835
-255,-330,1073,-12425,-7367,30835
-256,-326,1056,-8295,-9922,31412
-241,-319,1028,-5442,-13195,32497
-237,-328,1005,-3990,-14927,33740
-237,-328,1005,-3990,-14927,33740
-233,-327,972,-1610,-16782,32497
-224,-294,927,3360,-18550,27247
-219,-269,900,8995,-17150,21752
-219,-269,900,8995,-17150,21752
-227,-263,906,11462,-12267,20352
-231,-262,938,9922,-6422,20352
-234,-279,976,6160,-3255,18952
-234,-279,976,6160,-3255,18952
-246,-303,982,1995,-4445,16240
-254,-302,963,-367,-6510,10885
-247,-279,950,-822,-5267,4147
-247,-279,950,-822,-5267,4147
-256,-259,950,-910,-595,-105
-270,-238,971,-350,4217,-1347
-276,-224,995,962,5810,-420
-276,-224,995,962,5810,-420
-273,-218,1004,1907,3097,3062
-269,-223,989,2152,-1977,7787
-269,-237,962,2170,-5127,10727
-269,-237,962,2170,-5127,10727
-276,-260,960,1820,-3290,11357
-286,-268,983,910,227,10045
-276,-266,992,-157,-682,7297
-276,-266,992,-157,-682,7297
-273,-271,960,-665,-5005,5040
-272,-259,909,577,-7350,2187
-278,-235,893,2432,-2870,-910
-278,-235,893,2432,-2870,-910
-286,-208,922,2870,4602,-1470
-293,-210,965,1312,8330,2257
-302,-227,994,-840,5932,8470
-302,-227,994,-840,5932,8470
-302,-251,1009,-3395,245,13930
-309,-271,1008,-7665,-4077,17535
-309,-266,1003,-11830,-5862,18200
-309,-266,1003,-11830,-5862,18200
-295,-263,995,-13982,-8102,19040
-294,-275,982,-14910,-11410,22137
-291,-294,962,-15312,-14105,24727
-291,-294,962,-15312,-14105,24727
-284,-311,947,-14192,-13895,23415
-277,-307,925,-10255,-13405,21227
-269,-292,912,-4025,-11392,18917
-269,-292,912,-4025,-11392,18917
-263,-295,944,1890,-9135,18025
-253,-305,976,3657,-8557,19022
-251,-306,1007,1662,-6702,18742
-251,-306,1007,1662,-6702,18742
-253,-306,1019,-3202,-6247,17710
-260,-312,1011,-8067,-6527,17272
-269,-303,1003,-9275,-6545,17010
-269,-303,1003,-9275,-6545,17010
-268,-284,993,-7052,-6930,16607
-259,-276,976,-4655,-7892,18637
-269,-278,957,-3272,-8767,22155
-269,-278,957,-3272,-8767,22155
-277,-267,938,-2012,-8680,22732
-276,-250,938,-962,-6405,20860
-268,-233,953,-157,-4550,21472
-268,-233,953,-157,-4550,21472
-269,-241,971,-297,-3185,26127
-275,-272,979,-1610,-3010,30555
-271,-292,971,-2730,-3972,30765
-271,-292,971,-2730,-3972,30765
-262,-294,965,-3307,-4795,28192
-246,-282,956,-4270,-3850,26215
-247,-288,958,-5267,140,26390
-247,-288,958,-5267,140,26390
-247,-325,976,-5145,2397,27002
-249,-354,983,-5022,1260,25830
-249,-365,980,-5845,-997,20912
-249,-365,980,-5845,-997,20912
-238,-349,974,-8907,682,13230
-231,-321,969,-9782,3325,7560
-211,-296,948,-5897,2607,9327
-211,-296,948,-5897,2607,9327
-202,-294,901,2222,-3237,18112
-195,-300,849,10780,-9170,26530
-188,-299,819,15575,-8960,30940
-188,-299,819,15575,-8960,30940
-193,-277,832,16520,-2887,31272
-187,-235,849,15032,2625,28735
-180,-209,869,11445,6212,27422
-180,-209,869,11445,6212,27422
-189,-210,891,6527,7787,29785
-208,-222,912,2555,6107,33687
-205,-231,916,-262,770,37432
-205,-231,916,-262,770,37432
-205,-239,893,-840,-4112,41037
-214,-233,855,3535,-6860,42122
-207,-199,821,12180,-10587,40722
-207,-199,821,12180,-10587,40722
-218,-195,799,18322,-12950,42227
-228,-220,780,19460,-12565,47880
-230,-257,778,19092,-12092,53550
-230,-257,778,19092,-12092,53550
-224,-278,766,18287,-13685,56997
-227,-245,743,16817,-13160,55020
-253,-224,700,14525,-11077,49210
-253,-224,700,14525,-11077,49210
-281,-210,689,11375,-5337,44852
-211,-205,699,7962,-787,46270
-203,-253,802,3325,4252,53935
-203,-253,802,3325,4252,53935
-320,-331,881,-6912,682,60602
-340,-304,849,-12722,-13737,54617
-301,-254,907,-8890,-20247,49980
-301,-254,907,-8890,-20247,49980
-328,-277,992,-9572,-24727,63122
-371,-358,949,-13510,-40512,78382
-355,-349,914,-8172,-47862,78242
-355,-349,914,-8172,-47862,78242
-378,-281,1064,910,-34807,74147
-390,-386,1286,315,-19897,87605
-346,-607,1223,9205,-50820,115885
-346,-607,1223,45430,-84752,131827
-135,-537,974,45430,-84752,131827
-156,-442,899,78120,-41107,126577
-176,-296,1091,96897,40705,105595
-288,-73,1407,105000,94675,94797
-288,-73,1407,105000,94675,94797
-309,-54,1310,96757,98070,94657
-167,-9,1002,103652,81970,90650
-464,41,1153,112192,153055,89792
-464,41,1153,112192,153055,89792
-919,-72,1521,108972,221690,88952
-1099,-59,1661,76037,192885,109707
-661,23,1455,6877,105525,154910
-661,23,1455,6877,105525,154910
-17,265,1499,-52937,59710,164745
269,521,1950,-78365,94045,57190
-234,819,1748,-36767,40810,-93275
-234,819,1748,-36767,40810,-93275
-599,1262,1288,28822,-83510,-173442
-538,1156,1068,23310,-86940,-102900
-860,534,1259,35350,-60165,-157
-860,534,1259,35350,-60165,-157
-837,736,1329,58345,-120295,-33057
-509,896,518,-38640,-191345,-110285
-522,607,-191,-94272,-138687,-130357
-522,607,-191,45990,-75407,-41335
-505,513,-271,45990,-75407,-41335
-720,672,454,256725,-34457,62545
-759,976,913,320285,-52535,68372
-559,1022,636,230160,-118492,42507
-559,1022,636,230160,-118492,42507
-587,813,231,107660,-142047,38150
-551,660,231,13965,-84787,15067
-487,656,564,-42227,-24710,-15085
-487,656,564,-42227,-24710,-15085
-491,568,722,-67935,-16940,-27020
-588,405,490,-52290,-59675,-33477
-641,515,292,9397,-86327,-43155
-641,515,292,9397,-86327,-43155
-573,706,351,69072,-79835,-35490
-561,574,414,77805,-73202,1627
