-54,12,976
-58,27,967
-61,38,948
-57,53,973
-90,58,1002
-159,57,1095
-177,15,1143
-106,-19,1135
-23,-12,1089
53,22,1047
21,42,1032
-27,37,1007
-44,45,1001
-13,55,989
5,53,996
5,44,1009
6,42,1023
15,29,1031
4,8,1033
14,-7,1039
8,-10,1027
1,0,1014
-23,-10,1003
-27,-13,996
-16,-18,1015
-9,-13,1028
-22,0,1036
-57,3,1039
-76,6,1041
-82,0,1039
-60,5,1024
-42,5,1015
-39,0,1013
-29,-5,1018
-21,-7,1023
-15,-8,1017
1,-10,1008
10,-8,1009
2,-3,1020
-8,1,1020
-22,4,1019
-36,1,1021
-36,0,1026
-32,-3,1034
-22,2,1038
-22,-1,1034
-28,-1,1027
-30,0,1024
-25,7,1029
-14,9,1033
-13,14,1025
-18,17,1022
-21,25,1017
-19,36,1015
-24,36,1012
-31,28,1012
-29,25,1012
-15,23,1016
-1,27,1028
-2,20,1045
-14,12,1052
-25,12,1059
-22,20,1062
-13,35,1052
-7,39,1042
-17,32,1039
-23,35,1036
-21,33,1036
-25,37,1036
-14,43,1036
-10,49,1041
-12,43,1045
-10,37,1043
0,41,1041
4,43,1042
-2,45,1042
-4,51,1039
-7,51,1031
-13,49,1034
-5,51,1035
-3,52,1033
-3,49,1039
-8,48,1044
-15,49,1044
-15,50,1048
-17,50,1048
-19,48,1043
-15,51,1040
-18,56,1039
-33,57,1043
-34,55,1045
-24,57,1040
-18,57,1036
-15,56,1036
-18,54,1036
-17,55,1031
-18,55,1028
-15,57,1024
-15,61,1019
-15,60,1018
-12,62,1014
-6,65,1015
-1,61,1014
4,63,1012
7,65,1014
12,71,1016
4,69,1020
14,70,1017
18,71,1015
15,75,1011
4,77,1002
1,82,996
5,81,999
10,79,1005
11,77,1015
8,76,1026
5,78,1029
5,76,1035
20,79,1032
31,76,1031
31,79,1034
23,82,1036
13,88,1031
12,87,1024
15,86,1026
22,88,1023
21,90,1025
30,95,1019
32,99,1015
24,96,1024
22,94,1035
29,92,1037
37,89,1030
36,89,1030
31,93,1026
16,97,1018
11,102,1014
14,105,1014
17,101,1012
22,95,1007
17,94,1003
17,99,1002
16,104,1003
19,99,1009
26,99,1006
29,98,997
24,103,982
9,112,982
5,117,983
1,117,986
10,114,989
19,114,990
12,116,983
13,120,978
22,120,969
36,122,967
47,117,970
55,113,972
55,110,976
49,108,972
43,107,971
40,109,970
35,117,974
29,124,974
27,123,971
27,120,963
34,121,947
42,119,935
52,117,926
58,110,922
59,119,923
49,115,935
52,122,938
51,124,931
43,128,925
40,132,905
46,128,881
52,131,871
50,132,862
43,140,854
45,147,852
47,140,855
67,139,853
79,131,851
88,132,854
92,134,852
84,141,839
74,146,812
60,152,772
50,156,751
24,175,722
20,207,702
14,211,700
12,203,739
1,201,723
14,203,641
10,187,621
1,187,647
-66,208,678
-173,242,676
-212,278,619
-206,262,551
-160,236,508
-67,208,474
-15,203,526
-60,196,640
-130,160,738
-206,133,780
-302,92,700
-300,-6,619
-252,-82,567
-194,-229,543
-124,-363,457
-124,-388,460
-348,-65,19
187,-1616,1827
-1315,-985,1998
-700,-1068,1998
-497,-1994,1998
-82,-1998,1231
1268,-1897,-783
836,-1998,-634
1028,-1489,-1192
1686,-562,-669
1010,81,1694
-448,1231,1390
-1644,887,1998
-1756,1005,1998
-1892,1086,1998
-1840,429,1998
-1307,199,1998
-784,-43,1875
-511,-113,1315
-209,-126,1019
51,-123,711
360,-16,486
521,92,255
586,114,207
437,168,66
303,187,51
130,100,310
99,69,529
38,23,899
-8,-109,1151
-22,-190,1297
-45,-221,1337
-94,-237,1366
-116,-223,1298
-117,-176,1210
-92,-142,1176
-51,-113,1155
6,-94,1117
73,-65,1041
115,-61,956
162,-64,916
196,-88,924
221,-113,1026
233,-115,1090
210,-111,1151
135,-97,1243
36,-71,1294
-41,-43,1294
-81,-30,1253
-117,-21,1182
-140,-35,1196
-137,-57,1239
-117,-73,1233
-75,-62,1188
-41,-12,1134
-5,54,1068
23,106,1017
45,174,932
58,224,870
81,245,824
82,239,783
56,211,741
2,171,732
-60,137,747
-72,164,811
-52,208,981
-8,168,1204
-6,100,1282
14,117,1236
67,181,1141
89,166,1106
129,133,1064
171,137,970
203,153,863
233,220,701
260,303,593
283,386,543
282,406,558
241,348,672
209,287,809
172,201,937
138,135,1009
103,64,1098
103,20,1194
103,13,1267
97,40,1263
90,116,1193
88,190,1080
96,248,934
109,285,852
116,303,774
109,272,796
74,201,842
41,145,870
8,87,904
-17,35,1003
-61,-11,1142
-88,-31,1250
-114,-8,1275
-125,46,1243
-119,87,1178
-103,119,1122
-32,151,1093
53,173,1083
162,182,1067
248,169,1007
269,139,959
252,83,901
175,-5,883
91,-73,937
44,-87,1010
-7,-22,1123
-62,55,1227
-90,119,1295
-97,158,1271
-91,179,1165
-27,205,1041
55,198,934
116,195,871
189,184,808
220,145,829
207,82,889
198,56,922
191,56,965
147,54,1018
102,78,1083
68,93,1119
21,105,1140
3,120,1103
-13,115,1045
0,114,985
30,108,973
73,99,993
116,116,1032
135,137,1063
126,148,1068
150,164,1047
156,155,986
147,128,939
133,109,934
110,86,938
84,80,954
70,92,993
71,107,1016
64,112,1046
18,79,1079
-7,54,1087
7,70,1088
39,114,1084
70,158,1068
91,183,1025
92,178,991
82,150,922
75,106,884
83,76,914
99,83,957
114,115,1031
96,128,1080
94,128,1080
74,125,1070
72,121,1011
71,113,958
43,55,1001
39,29,1049
53,3,1121
47,3,1121
104,12,1216
107,17,1197
78,18,1120
83,98,972
94,146,876
89,167,849
56,162,869
37,164,922
45,178,969
57,153,1015
89,81,1083
93,45,1099
88,24,1106
78,24,1106
49,0,1099
44,29,1092
41,70,1076
46,120,1006
56,147,976
87,177,960
87,141,978
62,93,1002
62,32,1040
93,74,1067
121,119,1112
118,159,1063
84,139,984
24,80,941
18,107,936
20,138,955
12,145,1016
20,156,1048
38,165,1018
-16,93,974
-84,61,1017
-31,91,1152
54,123,1181
154,117,1082
124,146,856
107,189,850
163,260,960
155,252,1061
268,270,960
333,155,1025
326,87,1009
322,175,941
250,245,961
116,149,1042
113,148,998
109,148,998
172,179,1020
200,154,1111
214,170,1058
185,189,968
162,191,933
156,191,933
156,191,933
93,189,938
125,220,973
219,274,979
294,295,962
359,262,953
318,176,898
304,146,855
297,146,855
243,132,846
197,168,933
149,165,1004
140,165,1004
54,127,1202
35,113,1219
0,93,1203
-23,142,1115
-43,191,1052
-86,200,983
12,283,909
76,287,888
145,276,863
193,268,849
213,214,835
211,168,816
196,132,850
146,123,971
76,137,1089
51,152,1155
32,192,1188
27,183,1156
56,141,1085
80,132,1005
103,126,972
105,165,971
104,142,1061
85,116,1137
76,113,1212
30,143,1215
39,235,1119
97,282,1020
128,211,969
220,189,926
250,171,897
305,176,849
362,182,820
372,153,862
317,176,909
232,159,914
132,154,958
17,171,1039
-42,180,1001
-50,268,829
11,345,842
95,295,964
94,295,964
307,135,1173
311,140,1160
328,175,1151
351,144,1216
305,86,1216
244,115,1032
178,170,870
135,208,818
61,224,841
19,196,920
30,180,893
196,262,744
246,301,711
237,279,812
277,204,977
289,121,1067
318,120,1048
324,199,1011
278,254,1033
265,249,1110
275,229,1158
272,139,1189
292,37,1101
341,75,947
355,168,824
334,214,793
304,258,797
290,266,889
320,244,1027
346,151,1127
341,35,1182
340,70,1022
320,169,864
333,242,827
344,304,882
249,257,935
214,212,901
206,175,785
274,258,652
409,306,736
515,273,958
508,197,1083
429,126,1074
305,150,1045
242,82,1046
313,82,1083
434,62,1083
494,130,894
394,241,730
352,319,703
275,329,767
299,265,992
335,94,1253
384,-50,1251
454,6,995
521,234,730
487,251,725
384,216,899
358,169,1024
324,164,1033
333,160,1134
375,176,1076
385,162,923
366,195,710
339,247,675
365,292,879
389,280,1006
340,182,944
330,186,733
364,166,780
408,172,873
491,170,977
510,110,1169
475,-7,1321
356,-36,1064
404,100,853
460,307,693
474,322,899
357,144,1135
299,63,1129
321,160,888
448,306,750
464,337,701
428,302,791
406,214,1020
407,110,1065
481,191,842
487,282,706
492,279,854
510,154,1056
451,113,953
476,245,840
552,271,873
540,184,866
531,219,755
552,310,782
541,290,878
438,235,927
359,227,846
491,304,818
553,335,850
503,282,929
427,210,876
459,256,679
491,300,598
491,343,606
443,248,791
434,175,852
465,195,813
558,290,765
563,287,828
511,163,930
525,152,870
538,214,799
592,305,837
504,214,906
454,190,800
446,269,765
479,370,760
430,292,892
399,210,963
399,196,954
409,233,850
426,270,785
426,248,797
384,212,771
367,213,716
442,288,702
561,315,769
595,326,757
531,226,830
490,155,816
444,144,856
421,158,897
331,139,1018
286,101,1127
346,192,1089
315,137,1100
293,37,1061
353,35,954
527,153,859
658,205,940
646,91,1106
707,-48,1157
822,1,834
789,127,588
