195,-913,270,-8085,6965,-910
174,-924,277,-7875,4060,2100
169,-960,282,-9100,1295,1785
184,-986,278,-6685,525,1050
154,-992,276,105,-2100,4025
155,-976,260,1750,-5740,3430
175,-966,215,2170,-7035,2450
209,-969,242,-1400,-4550,3815
196,-1011,264,-70,-3010,6125
179,-1044,273,245,-2065,3325
159,-1043,283,-350,105,-1365
134,-1028,284,665,560,-2275
138,-1040,284,315,-245,2275
122,-1028,298,-1155,-1680,3850
153,-1020,290,1085,-1435,3010
152,-1042,283,3115,840,4410
137,-1015,292,3500,1890,3955
111,-983,283,4690,2100,4305
110,-956,269,3675,945,6755
113,-962,272,5740,-315,12565
111,-975,284,8435,-3570,13475
136,-971,278,5110,-6755,8120
160,-939,272,4760,-7875,5880
180,-928,272,1540,-8400,4970
206,-924,272,210,-6440,7735
200,-919,284,350,-3640,9135
160,-919,303,630,-3535,11515
157,-942,300,665,-5320,11830
175,-956,291,1925,-6895,12915
196,-948,272,-700,-7105,7630
207,-953,271,-1610,-6755,8785
220,-988,284,-3990,-6790,7140
222,-997,291,-4410,-4305,5635
197,-997,295,-2030,-1330,6720
171,-971,300,-1400,-525,7945
168,-959,291,420,-1400,6475
197,-928,267,-490,-595,5810
215,-908,246,-1820,1610,8645
209,-938,253,-2310,2345,13860
189,-991,263,-3780,2765,15085
177,-1033,278,-2730,3115,14840
173,-1056,282,-560,4095,11340
151,-1031,270,315,3675,8820
117,-1004,276,1295,1330,8575
116,-978,259,1435,-700,9695
141,-974,249,70,-1855,9870
156,-988,240,1015,-245,9940
133,-976,235,1190,1785,14945
108,-995,241,1540,3815,16625
102,-983,250,630,4235,16975
92,-986,271,1540,2100,18270
135,-1007,267,350,-1890,14385
162,-1013,263,1925,-5040,10395
162,-1012,253,4900,-5775,8470
163,-966,245,10430,-6160,11025
168,-933,234,10080,-5915,11725
164,-910,223,8680,-5705,15540
168,-908,224,4655,-5495,16520
186,-900,224,8785,-7175,24325
178,-909,220,9100,-6265,27440
147,-922,224,9310,-4795,31395
132,-918,218,10185,-4935,32515
101,-954,230,11060,-7945,35105
101,-953,233,12985,-15015,34965
132,-989,224,17675,-19145,39690
167,-1010,217,15540,-19880,37870
168,-1018,218,17850,-15995,36995
151,-993,239,20545,-14700,38955
126,-1009,244,20615,-14735,38710
146,-940,229,16135,-14315,35070
126,-950,236,16485,-13055,39480
159,-918,206,35035,-13300,67025
138,-994,267,64925,-315,75705
112,-1062,307,44520,-3045,45325
139,-1028,309,32375,10290,37345
78,-961,289,9380,14105,26215
79,-888,302,-10010,16240,11865
135,-746,244,-21000,12145,20475
145,-678,207,-9520,9870,33110
175,-676,203,25970,2660,52500
124,-748,237,60655,-2450,63175
83,-763,267,82355,-5005,53830
